                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1236,                0.90488,                  1.052,                0.80292,                0.33518,                0.39874,                0.22818,                 1.2205,                 1.0067,                 1.1339,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.1167,                0.92071,                 1.0816,                0.74597,                0.40333,                0.42459,                0.22502,                 1.3007,                 1.0311,                 1.1777,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.1123,                0.95472,                  1.077,                0.66795,                0.40794,                0.41108,                 0.2132,                 1.2782,                 1.1228,                 1.1896,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0937,                 0.8805,                 1.0692,                0.72325,                0.34738,                0.41693,                0.22449,                 1.2723,                 1.0184,                 1.1659,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1106,                0.91154,                 1.0698,                0.84478,                0.37172,                0.44865,                0.23987,                 1.2369,                0.95296,                 1.1281,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0966,                0.91763,                 1.0549,                 0.8143,                 0.4197,                0.43783,                0.24041,                 1.2407,                 1.0252,                 1.1403,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1062,                0.86051,                 1.0474,                0.81269,                0.43394,                0.45033,                0.24456,                 1.2638,                 1.0294,                 1.1409,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0916,                0.86516,                 1.0703,                0.70977,                 0.4893,                0.45654,                0.25625,                 1.2164,                0.97731,                 1.1122,               0.000755,               0.000755,               0.000755
                     42,                  1.094,                0.87633,                 1.0487,                0.78234,                 0.4539,                0.44677,                0.25015,                 1.2469,                 1.0454,                 1.1475,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0286,                0.83806,                 1.0318,                0.64551,                0.43948,                0.42574,                0.23914,                 1.2487,                  1.062,                  1.151,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0395,                0.81151,                 1.0215,                 0.7667,                0.46972,                0.46001,                0.26657,                 1.2428,                0.96459,                 1.1379,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0668,                0.84516,                  1.044,                0.82224,                0.42898,                0.45058,                0.25782,                 1.2089,                0.92945,                 1.1239,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0661,                 0.8833,                 1.0645,                0.84964,                0.39708,                0.44025,                0.25318,                 1.2249,                0.98995,                 1.1339,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0358,                 0.8492,                 1.0454,                0.85856,                0.39932,                0.44111,                0.24812,                 1.2547,                0.98877,                 1.1401,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0358,                 0.8156,                 1.0267,                0.69274,                0.43315,                0.42915,                 0.2441,                 1.2359,                0.93571,                 1.1283,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0354,                0.77929,                 1.0306,                0.76449,                0.38822,                0.42282,                0.23116,                 1.2331,                0.95518,                 1.1388,               0.000656,               0.000656,               0.000656
                     50,                 1.0174,                0.78374,                  1.016,                0.75909,                0.38917,                0.42282,                0.23045,                  1.246,                0.93229,                 1.1359,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0333,                0.80975,                 1.0479,                0.66873,                 0.4352,                 0.4194,                0.23035,                 1.2392,                0.93733,                 1.1373,             0.00063125,             0.00063125,             0.00063125
                     52,                 0.9921,                0.74592,                 1.0273,                0.69708,                0.43591,                0.41299,                0.23746,                 1.2235,                0.93117,                  1.126,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0352,                0.78749,                 1.0297,                0.69789,                0.47327,                0.43603,                0.24902,                 1.2327,                0.90585,                 1.1195,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0147,                0.75248,                 1.0179,                0.75093,                0.43056,                0.45879,                0.25354,                 1.2653,                0.90974,                 1.1407,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0106,                0.75068,                  1.021,                 0.7364,                0.43458,                0.44465,                0.25737,                 1.2559,                0.89647,                 1.1416,             0.00058175,             0.00058175,             0.00058175
                     56,                0.99657,                0.73417,                 1.0067,                0.78141,                0.41302,                0.44325,                0.25261,                 1.2172,                 0.8903,                 1.1096,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0007,                0.80033,                  1.031,                0.85426,                0.40312,                0.44665,                0.24705,                 1.2591,                0.90303,                 1.1372,               0.000557,               0.000557,               0.000557
                     58,                 1.0292,                0.75954,                 1.0265,                0.88184,                0.39755,                0.46765,                0.25916,                 1.2577,                0.88567,                 1.1482,             0.00054463,             0.00054463,             0.00054463
                     59,                0.97972,                0.72592,                 1.0129,                0.85665,                0.41995,                 0.4635,                0.25747,                 1.2244,                0.88073,                  1.123,             0.00053225,             0.00053225,             0.00053225
                     60,                0.99313,                0.76011,                0.99238,                0.84024,                0.43804,                0.47748,                0.26191,                  1.229,                0.87889,                 1.1276,             0.00051988,             0.00051988,             0.00051988
                     61,                0.98678,                0.71602,                0.98585,                0.86451,                0.45255,                 0.4854,                0.27302,                 1.2254,                0.86181,                 1.1231,              0.0005075,              0.0005075,              0.0005075
                     62,                0.99973,                0.73781,                  1.006,                0.84779,                0.42151,                0.47503,                0.27431,                 1.2228,                0.86954,                 1.1148,             0.00049513,             0.00049513,             0.00049513
                     63,                0.98126,                0.76702,                 1.0329,                0.80845,                0.45089,                0.46994,                0.26833,                  1.203,                0.85638,                 1.1046,             0.00048275,             0.00048275,             0.00048275
                     64,                0.97701,                0.71657,                 1.0008,                0.75834,                0.49046,                0.48042,                0.27541,                 1.2442,                 0.8634,                 1.1181,             0.00047038,             0.00047038,             0.00047038
                     65,                0.96206,                0.71497,                 1.0178,                 0.8005,                0.44644,                0.48305,                0.27676,                 1.2321,                0.86585,                  1.117,               0.000458,               0.000458,               0.000458
                     66,                0.97082,                0.69059,                0.98988,                0.72452,                0.45453,                0.47663,                0.27521,                  1.211,                0.83815,                  1.104,             0.00044563,             0.00044563,             0.00044563
                     67,                0.93243,                0.69633,                0.99278,                0.76244,                0.47797,                0.48456,                0.28587,                 1.2359,                0.81434,                 1.1154,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0093,                 0.7237,                 1.0236,                0.78359,                0.41306,                0.47264,                0.28096,                 1.2042,                0.79779,                  1.105,             0.00042087,             0.00042087,             0.00042087
                     69,                0.94934,                0.69088,                 1.0017,                0.72292,                0.50012,                0.48022,                0.29107,                 1.1686,                0.75815,                 1.0859,              0.0004085,              0.0004085,              0.0004085
                     70,                0.94977,                0.68584,                0.98403,                0.73939,                 0.5059,                0.48057,                0.29297,                 1.1807,                0.77569,                 1.0934,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.9301,                0.67577,                 1.0126,                0.75022,                0.50882,                 0.4883,                0.29521,                 1.2053,                0.78553,                 1.1128,             0.00038375,             0.00038375,             0.00038375
